Product Name,Category,HSN Code,Opening Stock,Closing Stock,Units Sold,Purchase Price,Sale Price,Purchase Quantity,Supplier Name,Date
Aashirvaad Atta 5kg,Grocery,11010000,90,85,13,230,255,8,Shree Distributors,2026-04-01
India Gate Basmati Rice 5kg,Grocery,10063020,57,7,14,420,465,32,South India Retail Supply,2026-04-01
Toor Dal 1kg,Grocery,07136000,82,2,28,115,135,36,Shree Distributors,2026-04-01
Fortune Sunflower Oil 1L,Grocery,15121910,97,3,26,135,160,40,FreshKart Wholesale,2026-04-01
Tata Salt 1kg,Grocery,25010020,130,138,27,18,22,35,South India Retail Supply,2026-04-01
Maggi Noodles Pack,Snacks,19023010,198,193,43,11,15,38,Shree Distributors,2026-04-01
Parle-G Biscuits,Snacks,19053100,192,197,31,8,10,36,Shree Distributors,2026-04-01
Lays Classic Chips,Snacks,19059040,164,2,28,16,20,26,Bharat FMCG Supply,2026-04-01
Kurkure Masala Munch,Snacks,19059040,141,144,37,9,12,40,FreshKart Wholesale,2026-04-01
Haldiram Bhujia 400g,Snacks,21069099,94,92,35,78,95,33,Annapurna Agencies,2026-04-01
Coca Cola 750ml,Beverages,22021010,122,126,35,32,40,39,South India Retail Supply,2026-04-01
Pepsi 750ml,Beverages,22021010,121,122,36,31,38,37,Metro Wholesale Traders,2026-04-01
Sprite 750ml,Beverages,22021010,111,130,25,30,37,44,Metro Wholesale Traders,2026-04-01
Amul Taaza Milk 1L,Beverages,04012000,107,105,45,52,60,43,Annapurna Agencies,2026-04-01
Tropicana Orange Juice 1L,Beverages,20091200,80,86,44,88,105,50,Bharat FMCG Supply,2026-04-01
Dove Shampoo 340ml,Personal Care,33051090,46,49,18,210,260,21,FreshKart Wholesale,2026-04-01
Clinic Plus Shampoo 340ml,Personal Care,33051090,70,84,9,155,190,23,South India Retail Supply,2026-04-01
Colgate Toothpaste 200g,Personal Care,33061020,103,103,11,95,120,11,Bharat FMCG Supply,2026-04-01
Lux Soap Pack,Personal Care,34011110,110,122,19,42,55,31,Bharat FMCG Supply,2026-04-01
Dettol Handwash 200ml,Personal Care,34013019,84,80,20,75,92,16,Metro Wholesale Traders,2026-04-01
Surf Excel 1kg,Household,34022090,100,107,13,180,220,20,Shree Distributors,2026-04-01
